time_ms,acc_x,acc_y,acc_z,event
19,0.4378593562148511,0.40361514130756254,-0.18999708667695522,
119,0.6484770599856973,-0.2672295255698264,0.28975042332708834,
219,0.9256077287796884,0.41648295231759547,-0.19289689977169036,
319,0.4911181412588805,0.8240363098569213,0.5407318477988243,
419,0.17890052312314508,0.31676337180659175,0.5275070400446653,
519,-0.37974874722547824,-0.37990795637518165,0.04079319815933704,
619,1.3552290526770054,0.5123968569353222,-0.07018646590411663,
720,0.24872957215802743,0.20532880358248948,-0.18494857111573218,
820,0.11285082823019474,0.18390724536925554,-0.019364041161537168,
920,0.22212166081545873,-0.023669337140023707,0.019819968235492706,
1020,0.09114029700774699,-0.0960213105149567,0.4306079237818718,
1120,-0.12422998985135927,-0.0497115408912301,-0.2167325333893299,
1220,0.04236879974587354,-0.0868441707164049,-0.23383739744722842,
1320,-0.004058216749085113,-0.09529591884985565,-0.06888882730901241,
1420,-0.045208996174437924,-0.039459319207072255,0.06753390556871891,
1520,-0.039449423434142955,-0.1561170289069414,-0.03726210142374038,
1620,-0.07324687638804316,-0.10063640309497714,-0.02471533906161785,
1720,-0.028891204540734176,-0.14633870834484697,-0.11904548161923885,
1820,0.11773609778741374,-0.12108385557904838,0.11036766964495182,
1920,0.032381761486676985,-0.052072717064619065,0.07251695467829704,
2020,-0.02330851132086245,-0.10056099977120757,-0.03807517137229442,
2120,0.07955531061617657,-0.08822320398464799,-0.13037526940703392,
2220,0.22836490258658304,-0.031972032191604376,0.15836685366034506,
2336,0.022195994918141514,-0.052609600420296186,0.5410357991814613,
2436,0.10254552465192973,-0.08035466256663203,-0.08178688732683657,ROTATION_90_LEFT
2536,0.16435157235944642,-0.17445530721731484,-0.024876667103171348,
2636,0.5366191152503713,-0.10782003098875284,-0.38571547361016273,
2736,0.5745873556494713,-0.0434088605504483,-0.08001344791352748,
2836,0.6114966615801677,0.07034772088043391,0.18871113851964472,
2936,0.5573460787955671,-0.02568484168089926,-0.19495675491094588,
3036,0.5629218331012874,0.0949417716499418,-0.298553907507658,
3136,0.07173440773217007,0.2735616512008011,-0.38706338108778,
3236,-0.31790161858890204,0.7708228252593428,-0.0023690672188997268,
3336,-0.002508366091735661,1.2505302224487065,-0.65174482960999,
3436,0.8083969883069395,1.0803099224526433,-0.640707887288928,
3537,0.42423692744523284,0.23827216502428053,0.3577034310907125,
3653,-0.039556678634323175,0.2496269411228597,0.427190808814764,
3753,-0.7762129207998514,0.038164895482361315,0.08347440202236175,
3853,-0.8266295412205159,-0.015511895778030155,-0.5068178877592087,
3953,-0.9125430800233035,-0.1747008794762194,0.9316483971834182,
4053,-0.5560098617557436,-0.06244878432415425,-0.780428492668271,
4153,-0.45369741520732637,-0.5143441185455769,-0.16015899777412412,
4253,0.00438642579014413,-0.16318674809746445,-0.0924649332076311,
4354,0.2722700770203024,-0.07366999717094004,0.6241735165953636,ROTATION_90_LEFT
4470,0.32575079771932214,-0.0902782368183136,-0.343953722679615,
4570,0.3340203942188993,-0.25157434886358676,0.03692775490283966,
4670,0.8704465441804379,-0.035882483633607624,-0.24788638106584548,
4770,0.8585137489981949,0.3301840674590319,0.1860246759146452,
4870,0.68863941289559,-0.08705379487909376,0.6836930425345897,
4970,0.349840588761121,-0.17979659518003463,-0.34254560944736,
5070,0.24208646261543035,0.061582449818402524,0.11374269903600215,
5170,0.1802575637552887,0.874270997839421,-0.18162088799774645,
5270,-0.34001901357918973,1.0093578790035098,0.019497896674275397,
5370,-0.32033059930149466,1.2841060365751384,-1.3130232112407683,
5470,-0.0486934498898685,0.11213314494751393,0.24371523286104202,
5570,-0.3948262701742351,0.22505049907527863,-0.4431792360633611,
5670,-0.5217557465089485,0.3180728469699621,0.4401005592703819,
5770,-0.7301420744985342,-0.09084902244359254,0.2879875053077936,
5870,-0.44708738595042374,0.25036636131331325,-0.5242039068460465,
5970,-0.6346285673752426,0.16797259413450955,0.4700187276721,
6086,-0.4099767487613484,-0.334316271892935,-0.16792320203483105,ROTATION_90_LEFT
6186,-0.0728923821282573,-0.22387597540318965,0.11952303600311279,
6286,0.24478666148483752,-0.1266346215739846,0.2770382412701845,
6386,0.5094061141541227,-0.2868832703929394,-0.22504034300744533,
6486,0.7145404546104371,-0.2201814317341894,-0.0957546224027872,
6586,1.1543565709162502,-0.10478234379328787,-0.0012806874603033065,
6686,0.9015799335908145,0.0669081018205732,-0.008315992924571037,
6786,0.1474958607570268,0.2339485296715051,-0.07740940289497375,
6886,0.031171182403806594,0.3692790103331208,0.0398538714826107,
6986,-0.15683902303855865,0.13457747033722697,0.13518062386214733,
7086,-0.209488882404007,0.11910378767773508,0.3026198417723179,
7186,-0.4714606701087206,0.6944101052515208,-0.20026830532252787,
7286,-0.49546745904218403,0.9801342687372118,-0.17597440654337404,
7386,-0.09946918594650923,1.4107491337165237,-0.9787105926096439,
7486,-0.07477697203215211,0.7586956034835427,0.09046236121356487,
7586,-0.43784284347146746,0.14914908959046005,-0.2574877376258373,
7686,-0.677807637757808,-0.3823237122800201,0.1832914515584707,
7803,-0.2926469119535759,-0.023338132424280046,0.02029109287858009,
7903,-0.4235569458244368,0.12432473719641565,-0.3133838123708963,
8019,-0.5584808915117755,-0.00887114258930087,-0.501231612059474,
8119,-0.5544254421085119,-0.10766937047168612,0.6104863520264625,
8219,0.1607454193599522,0.09191182936951517,0.18129764739274978,ROTATION_90_LEFT
8320,0.47398142075799404,-0.0022721096504479646,0.0366863473623991,
8436,0.6065094477521256,-0.19263028472475707,-0.3586941956937313,
8536,0.7865987057358026,-0.13752170709557832,0.05440320583879947,
8636,0.9450498036134988,-0.21273440366387367,0.06552315026819705,
