time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label,segment_id
2246,-0.30000000000000004,0.2,-0.30000000000000004,-1.5,4.6,-0.4,left,left_2
2359,-0.5,0.30000000000000004,-0.30000000000000004,0.2,2.1,-2.1,left,left_2
2460,0,-0.1,0.2,0,1.1,-4.800000000000001,left,left_2
2,0,-0.1,-0.2,-0.30000000000000004,2.6,25.7,left,left_3
115,0.1,0,-0.1,1.5,3.7000000000000006,25.200000000000003,left,left_3
215,-0.2,0,-0.1,3.1,2.2,23.900000000000006,left,left_3
315,-0.2,0,0,-0.1,5.8,28.700000000000003,left,left_3
416,-0.2,0.1,0.1,-5.6,5.6,29.500000000000004,left,left_3
532,0.1,-0.2,0.2,-5.8,7.300000000000001,28,left,left_3
633,0.1,0,0.1,-1.9,3.6000000000000005,21.900000000000002,left,left_3
733,0.30000000000000004,-0.1,-0.8,3.7000000000000006,5,25.5,left,left_3
833,0.1,-0.2,0.1,-1.3,2.8,22.8,left,left_3
933,0.4,0,0,2,6.9,26.000000000000004,left,left_3
1033,0.4,0,-0.2,-2.7,7.400000000000001,29.900000000000006,left,left_3
1133,0,0,-0.7000000000000001,0.6000000000000001,8.700000000000001,33.400000000000006,left,left_3
1233,-0.30000000000000004,0,-0.30000000000000004,-2.2,13.200000000000003,41.199999999999996,left,left_3
1334,-0.1,0.1,-0.30000000000000004,-1.9,13.900000000000002,48.400000000000006,left,left_3
1450,0.4,0.1,-0.5,1.9,11.8,51.1,left,left_3
1564,0,-0.1,0.4,-1.3,7.300000000000001,47.7,left,left_3
1666,-0.1,0.1,-0.2,-1.6,7.500000000000001,46.199999999999996,left,left_3
1766,-0.30000000000000004,0.1,-0.30000000000000004,0.8,8.700000000000001,45,left,left_3
1867,-0.5,0.5,0.1,1,9.600000000000001,38.2,left,left_3
1967,-0.2,0.30000000000000004,0,3.5,9.899999999999999,34.1,left,left_3
2084,-0.2,0.5,-0.1,3.1,4.9,28.400000000000002,left,left_3
2200,-0.1,0,-0.30000000000000004,3.8,8.100000000000001,24.7,left,left_3
2300,0.1,0,0,2,7.300000000000001,18.4,left,left_3
2400,0,-0.2,-0.2,-1.6,5.300000000000001,11.2,left,left_3
2500,0.30000000000000004,-0.30000000000000004,0,-5,5.1000000000000005,8.100000000000001,left,left_3
12,-0.2,-0.1,0.1,-2,-2.4000000000000004,16.1,left,left_4
112,-0.1,-0.2,0.2,-0.4,-4.6,18.200000000000003,left,left_4
212,-0.1,0.1,0,-3.8,6,19.300000000000004,left,left_4
312,-0.30000000000000004,0.1,0,2.6,1.6,25.5,left,left_4
413,-0.30000000000000004,0.30000000000000004,0.2,5,3.4,25.1,left,left_4
514,-0.30000000000000004,-0.2,0.1,4.9,9.600000000000001,27.400000000000002,left,left_4
614,0.1,-0.2,-0.1,-1.9,9.600000000000001,29.700000000000006,left,left_4
731,0.2,-0.30000000000000004,0.4,-1.1,11.2,25.5,left,left_4
831,0.1,-0.1,0,2.3,5.6,23.2,left,left_4
946,0.4,-0.1,0,6.2,4.6,27.3,left,left_4
1047,0.5,-0.30000000000000004,0.1,-5.8,9.700000000000001,33.1,left,left_4
1164,0.4,0,0.1,-5.500000000000001,5.1000000000000005,38.900000000000006,left,left_4
1281,0.4,0,-0.1,-0.5,8.100000000000001,40.6,left,left_4
1397,0,-0.2,0,3.3000000000000007,11.1,44.4,left,left_4
1500,0.5,0.1,0.1,1.1,9.899999999999999,42.400000000000006,left,left_4
1614,-0.4,0,-0.5,3.8,6.600000000000001,42.1,left,left_4
1714,-0.1,-0.1,0,3.7000000000000006,2.3,43.70000000000001,left,left_4
1831,-0.4,0.1,0,-1.3,5.300000000000001,39,left,left_4
1945,-0.1,0.1,0.2,2.6,9.2,32.1,left,left_4
2047,-0.5,0.1,-0.1,1.3,11.3,30.699999999999996,left,left_4
2147,0,0.1,0.1,4,7.300000000000001,29.700000000000006,left,left_4
2248,0,-0.1,-0.4,2,7.200000000000001,26.1,left,left_4
2348,0.30000000000000004,-0.1,-0.1,1,6.4,19,left,left_4
2464,0.4,0,0.1,1.4,6.9,15.000000000000002,left,left_4
5,0,-0.1,0,0.2,2.2,9.5,left,left_5
106,0.2,-0.2,0,-1.9,4.2,16.4,left,left_5
206,0.8,0,-0.5,-1.2000000000000002,2.7,17.200000000000003,left,left_5
306,0,0,-0.2,-1,3.1,19.1,left,left_5
407,-0.1,0.2,-0.2,-0.30000000000000004,5.2,24.1,left,left_5
507,-0.2,0,0,4,7.1000000000000005,33.1,left,left_5
608,0,0,0,5.8,8.700000000000001,41.4,left,left_5
724,0.2,-0.4,0.5,-4.9,10.5,47.7,left,left_5
824,0,0,0,-3.5,0.30000000000000004,48.400000000000006,left,left_5
924,-0.30000000000000004,0,-0.30000000000000004,3.5,6.699999999999999,49.6,left,left_5
1041,0.1,0,0.5,0.7,10.700000000000001,40.7,left,left_5
1141,-0.1,-0.2,0,4.2,12.100000000000001,40.6,left,left_5
1258,0.2,0.1,-0.30000000000000004,3.3000000000000007,15.8,32.400000000000006,left,left_5
1373,-0.5,-0.1,-0.1,3,7.8,34.900000000000006,left,left_5
1474,0.1,-0.1,-0.2,4.6,7.699999999999999,31.6,left,left_5
1574,0.4,-0.2,0.5,1.7,7.8,29.300000000000004,left,left_5
1674,0.30000000000000004,-0.1,-0.6000000000000001,-2,-0.30000000000000004,23.099999999999998,left,left_5
1774,0.4,0.1,0.30000000000000004,9.899999999999999,7,30.699999999999996,left,left_5
1874,0,-0.2,0.2,4.4,13.5,36.7,left,left_5
1990,0.5,-0.2,-0.1,-1.8000000000000003,10,40.5,left,left_5
2090,0.6000000000000001,-0.2,-0.4,1.4,13.900000000000002,38,left,left_5
2206,0.1,0.1,0,-4.2,11.3,33.400000000000006,left,left_5
2307,0.30000000000000004,0.1,-0.1,0.30000000000000004,9,27.9,left,left_5
2407,-0.1,0.1,0,1.1,5.9,26.400000000000006,left,left_5
14,0.1,-0.1,-0.1,-6.8,-9.600000000000001,2,left,left_6
130,-0.1,-0.1,0,6.1000000000000005,1.3,6.600000000000001,left,left_6
230,0.2,0.1,0.2,-1.3,6.4,14.400000000000002,left,left_6
330,0.1,0,0.1,-5.1000000000000005,7.400000000000001,23.400000000000002,left,left_6
431,0.1,0,-0.1,-4.800000000000001,11.5,31.3,left,left_6
532,0.2,-0.1,-0.1,-0.4,4.2,41.199999999999996,left,left_6
632,0.1,-0.4,0.30000000000000004,1.3,13.8,41.900000000000006,left,left_6
732,-0.4,-0.4,0.4,-12,16.900000000000002,49,left,left_6
848,-0.5,0.2,-0.1,-4.4,15.899999999999999,47.3,left,left_6
963,0,0,0,9.899999999999999,5.6,48.50000000000001,left,left_6
1064,0.2,0,0,-8.899999999999999,8.8,38.800000000000004,left,left_6
1164,-0.30000000000000004,-0.1,-0.1,-12.100000000000001,5.4,40.6,left,left_6
1266,0,0,-0.1,-4.4,21,40.300000000000004,left,left_6
1381,0.1,0,0.4,7.1000000000000005,10,42.400000000000006,left,left_6
1481,0.30000000000000004,0,-0.1,2,8.899999999999999,35.2,left,left_6
1581,0.6000000000000001,-0.30000000000000004,-0.9,9.100000000000001,12.100000000000001,34.1,left,left_6
1681,0,0,-0.1,3.8,9.5,24.900000000000002,left,left_6
1782,0.2,0.2,-0.30000000000000004,4.5,4.1,27.400000000000002,left,left_6
1899,0.30000000000000004,0.1,0.1,-1.3,2.9,32.2,left,left_6
