time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label,segment_id
2158,0,0,0,-2.8,1.6,46.6,left,left_2
2258,0.1,0.1,0,-4.5,5.500000000000001,41.4,left,left_2
2358,0.1,0,0,5.8,17.6,41,left,left_2
2458,0.1,0,0,-1.9,6.1000000000000005,37.300000000000004,left,left_2
2558,0.1,0,0,1.8000000000000003,11.900000000000002,33,left,left_2
2658,0,0,0,-7.300000000000001,0.7,28.800000000000004,left,left_2
2758,0,0,0,-6.8,-1,25.200000000000003,left,left_2
2858,0.1,0,0,-4.4,-2.5,17.7,left,left_2
13,0,0,0,-3.2,1.5,9.4,left,left_3
123,0,0,0,-5.300000000000001,1.4,14.400000000000002,left,left_3
236,0,0,0,-5.7,1.2000000000000002,22.4,left,left_3
336,0,0,0,-4.800000000000001,1.6,26.000000000000004,left,left_3
436,-0.1,0,0,-5,5.4,30.000000000000004,left,left_3
536,0,0,0,-2.2,1.9,30.5,left,left_3
636,0,0,0,1.6,5.2,29.400000000000002,left,left_3
736,0,0,0,-0.6000000000000001,1.4,31.400000000000002,left,left_3
836,0.1,0,0,8.5,4.5,30.699999999999996,left,left_3
936,0,-0.1,0,6,5.300000000000001,33.9,left,left_3
1036,0.1,-0.1,-0.1,-0.4,11.1,39,left,left_3
1136,0,-0.1,0,-4.2,0.2,44.6,left,left_3
1236,0.1,0,0.1,-9.8,0.30000000000000004,49.699999999999996,left,left_3
1336,0.1,0,0.1,1.2000000000000002,0.6000000000000001,54.699999999999996,left,left_3
1436,0.1,0.1,0,-1.5,7.9,53.599999999999994,left,left_3
1536,0,0,-0.1,-0.9000000000000001,9.5,51.300000000000004,left,left_3
1636,0,0,0,-2.2,9.899999999999999,53.300000000000004,left,left_3
1736,0,0,0,-0.2,12.7,57.20000000000001,left,left_3
1836,0,0,0,1.6,11.900000000000002,60.00000000000001,left,left_3
1936,0,0,0,-7.8,8.2,64.10000000000001,left,left_3
2036,0,-0.1,0,7.6,18.1,61.7,left,left_3
2154,-0.1,-0.1,0,-15.8,11.1,54.4,left,left_3
2255,-0.1,0,-0.1,-9.100000000000001,6.8,50.2,left,left_3
2369,-0.1,0,0.1,-6.9,8.899999999999999,45.7,left,left_3
2469,-0.1,0,0,-4.6,9.4,43.800000000000004,left,left_3
2569,-0.1,0,0,-1.7,9.899999999999999,42.1,left,left_3
2669,-0.1,0,0,1,7.6,38.900000000000006,left,left_3
2769,0,0,0,0.7,3.3000000000000007,35.699999999999996,left,left_3
2869,0,0,0,2.9,5.6,30.5,left,left_3
12,0,0,0,-0.30000000000000004,-2,14.300000000000002,left,left_4
114,0,0,0,1.3,-2.2,22.000000000000004,left,left_4
214,0,0,0,0.9000000000000001,2.3,30.200000000000003,left,left_4
314,0.1,0,0,4.300000000000001,7.8,35.1,left,left_4
414,0.2,0,0,-6.500000000000001,6.4,41.900000000000006,left,left_4
514,0.1,0,0,1.6,9.8,51.4,left,left_4
614,0,0,0,-5,10.5,60.6,left,left_4
714,-0.1,-0.1,0,-11.700000000000001,17.1,69.00000000000001,left,left_4
814,0,-0.1,0,-5.2,13.6,73,left,left_4
914,0.1,-0.1,0,-1.8000000000000003,14.900000000000002,73.9,left,left_4
1014,0.1,-0.1,0.1,-13.900000000000002,0.30000000000000004,69.5,left,left_4
1114,-0.1,-0.1,-0.1,-1.1,13.900000000000002,62,left,left_4
1214,-0.2,-0.1,-0.1,-16,13.6,51.4,left,left_4
