time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label,time_s,acc_x_filtered,acc_y_filtered,acc_z_filtered,source_file
1480,0.4657905885830521,-0.1817388152889907,-0.1714905391275882,17.4638613869009,15.931972899472097,-26.021166341388923,forward,1.48,0.4666586333598985,-0.18054927300393311,-0.17764441527004388,motion_recording_2025-05-20_10-51-10 2.csv
1581,0.6885210472129285,-0.1864344257593155,0.2485930680304765,7.351238688583636,-15.945834768392638,-7.501589081462188,forward,1.581,0.6472641672183757,-0.2685918030624329,0.25744029278440606,motion_recording_2025-05-20_10-51-10 2.csv
1696,0.4538083282358944,-0.9811343126252292,0.5006120188564062,8.95363692636177,-11.667604055329877,-19.55365338611468,forward,1.696,0.5345246399426037,-0.8266941363244908,0.4913866042458117,motion_recording_2025-05-20_10-51-10 2.csv
1797,0.7388080499045551,-0.448604768243432,0.6299708046972752,14.02153483767368,-8.067366947586548,-18.12470267966714,forward,1.797,0.6201447031969222,-0.6596804574089769,0.6372666562766437,motion_recording_2025-05-20_10-51-10 2.csv
1897,0.0014797171637415,-0.6857064281836152,0.8360948503106832,6.649871322150768,-18.63912179210124,-4.474988399370145,forward,1.897,0.1560768818194507,-0.43810699996467817,0.8322122388726639,motion_recording_2025-05-20_10-51-10 2.csv
1997,-0.0231749777518212,-0.871311271250993,0.5317284571319818,3.7166209698794046,-18.93945033254857,-5.216667542284428,forward,1.997,-0.21079864358852834,-1.1337266471379028,0.5323592464707504,motion_recording_2025-05-20_10-51-10 2.csv
2097,0.0444739324986934,-2.226261506986618,-0.1061912607431411,3.985634800529527,-18.953264390144927,-11.980931299541393,forward,2.097,0.2603202261573513,-1.9696002446723657,-0.10587454474916193,motion_recording_2025-05-20_10-51-10 2.csv
2197,0.6671553108401597,-1.2897918271265922,-0.8601350665897131,20.198290055075063,-20.33011099850902,-4.653356655110912,forward,2.197,0.4310527987415407,-1.5235129057953731,-0.8570676852174441,motion_recording_2025-05-20_10-51-10 2.csv
2297,0.7463139685552567,-0.4221903701789677,-1.322570791786909,-1.72841191959199,-23.10026497113694,-0.1456075201910656,forward,2.297,0.9907765382831792,-0.22376257891834567,-1.3345381568086734,motion_recording_2025-05-20_10-51-10 2.csv
2397,1.4217270393267274,0.9225359931841493,-0.687650255727768,-13.08619165725921,16.948025010214025,3.9424991677131342,forward,2.397,1.1842061049895962,0.7664708881385819,-0.6615253936148248,motion_recording_2025-05-20_10-51-10 2.csv
2497,0.1960065927574411,0.7638596351832151,0.8158575334459542,32.563101037859624,-18.65657463297791,11.734570645047263,forward,2.497,0.4100194220191928,0.8753075132857837,0.7722861792645211,motion_recording_2025-05-20_10-51-10 2.csv
2597,0.7170192658141255,-0.5061535786315798,1.661893932056427,5.007538248956039,10.363123301222064,27.44462045310189,forward,2.597,0.5410560244404994,-0.5745380853785061,1.7226576201292412,motion_recording_2025-05-20_10-51-10 2.csv
2697,0.1257156070329249,-1.3810215194508433,1.2673825730502604,21.345090769551256,12.327353371602564,40.05940099158329,forward,2.697,0.2543840661160197,-1.3513587885129097,1.1943055753340799,motion_recording_2025-05-20_10-51-10 2.csv
2797,-0.1187040477704256,0.3269944045722484,-0.5339262594372034,1.62143952452366,19.13198141242019,-5.661270168569946,forward,2.797,-0.19806568422769769,0.32961540843603027,-0.45833270819534766,motion_recording_2025-05-20_10-51-10 2.csv
2913,0.2518358493439853,1.2402280241429806,-1.7072165903389454,14.23894146650248,21.391816093663312,24.246906883714928,forward,2.913,0.2869479135250936,1.2133504204773815,-1.7713295468088086,motion_recording_2025-05-20_10-51-10 2.csv
3014,0.1174494445994496,0.195113114516437,-1.227684768912196,2.65239852312914,-5.422313012249288,20.4395596573166,forward,3.014,0.11656362700670725,0.23742780562574334,-1.1914141987553568,motion_recording_2025-05-20_10-51-10 2.csv
3114,0.1057763232666999,0.3206590640708804,0.3558978429734706,3.871601377241579,-16.174874916925262,36.15707144703946,forward,3.114,0.08429332715311988,0.2712491249381928,0.36327374021743786,motion_recording_2025-05-20_10-51-10 2.csv
3214,0.8351607843309641,1.1473439887404442,1.1234604243278503,-16.822190727587586,3.253073746713799,17.301895403565094,forward,3.214,0.8683840647388139,1.1973354666736695,1.0608984078732804,motion_recording_2025-05-20_10-51-10 2.csv
3314,1.2443037491492923,1.2713961926057935,1.2875059081465006,-21.550582133372966,16.38494933768005,29.690661567316177,forward,3.314,1.2065333438227772,1.2246402737569984,1.4087750631493523,motion_recording_2025-05-20_10-51-10 2.csv
3414,0.5364439413465559,0.464651355420053,0.7948539083838463,-20.86129993290279,-13.00226997670091,12.281656844734238,forward,3.414,0.5759661733398287,0.5071694474212383,0.6221304595141622,motion_recording_2025-05-20_10-51-10 2.csv
4047,0.627966186876595,0.4005643754348159,-0.7514180867612361,-12.547650024223922,27.68914293293564,15.796620748237247,left,4.047,0.5855538176205857,0.36109362994796523,-0.5461127063442458,motion_recording_2025-05-20_10-51-10 2.csv
4151,1.2026722004696726,0.4989940622657537,0.1209621288955211,-14.688161300666923,12.006325089101852,44.9717994011561,left,4.151,1.25113761504053,0.5375403359894617,-0.08780636320861965,motion_recording_2025-05-20_10-51-10 2.csv
4264,1.0812490299336612,0.1155301669746637,-0.2327683069109916,-23.192716704194943,34.53287295297794,45.76146830695254,left,4.264,1.0244920943301001,0.07649528857555371,-0.0567579791326584,motion_recording_2025-05-20_10-51-10 2.csv
4364,1.4028167332820594,0.3253396231025457,-0.6849082635432482,0.0257654612410582,17.415196289064557,69.66011579771957,left,4.364,1.466179811414283,0.36409343617483914,-0.7889137537136677,motion_recording_2025-05-20_10-51-10 2.csv
