time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
127,-0.7000000000000001,0.2,-0.2,-8.8,-5,-3.5,
242,0,0,0,-6.2,-3.3000000000000007,0.8,
342,0,0,0,-46.300000000000004,-20.400000000000002,4.9,
442,0.1,-0.1,0.1,-22.2,-15.700000000000001,3.8,
542,0.1,-0.2,0,-3.1,11.900000000000002,-7.500000000000001,
642,0,-0.2,0,5.500000000000001,-4.1,1.3,
742,0,-0.1,0,-10.700000000000001,-11.4,4.5,
842,0,0,0,-10.1,-8.5,5.4,
942,0,0,0,-13.100000000000001,-11.1,9.899999999999999,
1042,0.1,-0.1,0,3.6000000000000005,-9.5,2.2,
1142,0.1,0,0,3,5.300000000000001,1.9,
1243,0.1,0,0,0.1,2.2,-0.9000000000000001,
1360,0,0.1,0,-2.9,6.600000000000001,-3.9,
1476,0,0.1,0,-8.5,4.800000000000001,-3.4,
1592,-0.1,0.1,-0.1,-6.300000000000001,-2.1,2.7,forward
1692,-0.1,0.1,0,-8.4,-1.2000000000000002,-3.4,forward
1793,0,0.1,-0.1,-6.2,-13.399999999999999,-5.300000000000001,forward
1909,0,0.1,0.1,4,-4.7,-6.2,forward
2009,0,0.1,0,8.5,-7.200000000000001,-0.30000000000000004,forward
2109,0,0,0.1,10.200000000000001,-5.6,9.2,forward
2209,0.1,-0.1,0.1,-35.9,-8.3,-11.4,forward
2309,0.2,-0.4,0.30000000000000004,16,-2.8,-5,forward
2410,0.2,-0.4,0,2,9,-14.400000000000002,forward
2526,0,0,-0.30000000000000004,-0.4,-4.7,-8.100000000000001,forward
2626,0,0.2,-0.30000000000000004,5.6,3.3000000000000007,-7.300000000000001,forward
2726,0,0.30000000000000004,-0.1,10.5,10,0.7,forward
2826,0,0.1,0.30000000000000004,14.700000000000001,2,10.700000000000001,forward
2926,0,0,0.30000000000000004,-6.600000000000001,1.6,4.6,forward
3026,-0.30000000000000004,-0.2,0.1,-9.600000000000001,-3,9.700000000000001,forward
3126,-0.2,-0.2,-0.2,16.3,-7.6,24.1,forward
3226,-0.1,0,-0.4,-17.200000000000003,-2.8,5.2,forward
3326,0.1,0.1,-0.1,-16.700000000000003,-0.7,1.3,forward
3426,0.1,0.2,0,5.500000000000001,-3.6000000000000005,6.1000000000000005,forward
3526,0,0.1,0.30000000000000004,4,-14.100000000000001,-0.8,forward
3626,0.1,-0.1,0.2,-33.400000000000006,-20.7,-11.8,forward
3726,0.1,-0.30000000000000004,0.1,18,-0.5,6.300000000000001,forward
3826,0.1,-0.2,-0.1,-9.3,15.5,-13.3,forward
3926,0,-0.1,-0.30000000000000004,-9.2,-4.7,1.6,forward
4026,0.1,0.1,-0.2,-13.3,-0.9000000000000001,15.899999999999999,forward
4126,0,0.2,0.1,-8.600000000000001,-1.4,13.5,forward
4242,0,0,0.4,15.6,13.6,8.8,forward
4342,0,0,0.30000000000000004,12.4,17.9,-16,forward
4442,-0.1,-0.2,0,19.799999999999997,19.5,-6.1000000000000005,forward
4542,-0.1,-0.1,-0.4,15.2,18.5,-2,forward
4643,-0.1,0.1,-0.4,12.9,-4.9,-5.9,forward
4759,0,0.30000000000000004,-0.2,9.100000000000001,-1.7,-4.800000000000001,forward
4859,0.1,0.1,0.30000000000000004,-33.400000000000006,13.000000000000002,3.6000000000000005,forward
4959,0,-0.30000000000000004,0.6000000000000001,16.6,8.600000000000001,9.5,forward
5059,0.1,-0.30000000000000004,0.2,-0.8,30.9,-18.5,forward
5159,0,-0.1,-0.30000000000000004,19.200000000000003,16.5,-22.6,forward
5259,0,0.2,-0.6000000000000001,-3.7000000000000006,5.300000000000001,0,forward
5359,-0.1,0.30000000000000004,-0.2,-8.899999999999999,1.7,9.100000000000001,forward
5459,0,0.2,0.6000000000000001,26.799999999999997,16,13.3,forward
5559,-0.1,-0.1,0.6000000000000001,33.800000000000004,10.5,1.4,forward
5659,-0.1,-0.30000000000000004,0.2,5.500000000000001,4.1,-6.699999999999999,forward
5759,-0.1,-0.2,-0.6000000000000001,4.2,7,10.9,forward
5859,0,0.1,-0.7000000000000001,-5.4,-12.299999999999999,8.700000000000001,forward
5959,0,0.30000000000000004,-0.2,-7.300000000000001,-4.5,3.2,forward
6059,0.1,0.2,0.30000000000000004,-12,-0.1,13.200000000000003,forward
6159,0.2,-0.2,0.6000000000000001,-50.7,-24.1,-47.400000000000006,forward
6259,0.2,-0.4,0.30000000000000004,3.3000000000000007,-24.1,-17.799999999999997,forward
6359,0.1,-0.1,-0.2,-18.200000000000003,28.1,-19.300000000000004,forward
6459,-0.2,0.1,-0.5,16.200000000000003,5.2,-8.3,forward
6559,-0.1,0.2,-0.30000000000000004,9.5,8.3,3.3000000000000007,forward
6659,-0.1,0.1,0.30000000000000004,24,-5.8,17.799999999999997,forward
6759,-0.1,-0.1,0.5,1.7,-25.4,3.4,forward
6859,-0.1,-0.30000000000000004,0.2,-13.5,-19.9,28.3,forward
6959,0,-0.1,-0.30000000000000004,-2.1,-20.900000000000002,23.2,forward
7059,0.1,0.1,-0.6000000000000001,-2.3,-9.700000000000001,13.6,forward
7159,0.1,0.30000000000000004,-0.2,-9,-5.500000000000001,-1.7,forward
7259,0,0.1,0.30000000000000004,-3.2,-22.000000000000004,19.400000000000002,forward
7359,0.2,-0.1,0.6000000000000001,-46.300000000000004,-30.5,-27.5,forward
7459,0.2,-0.4,0.4,12.4,-21.200000000000003,-4.7,forward
7559,0.2,-0.1,-0.30000000000000004,-6.500000000000001,8.600000000000001,-18.200000000000003,forward
7659,-0.2,0.1,-0.5,-2.7,6.1000000000000005,-11.900000000000002,forward
7759,-0.2,0.30000000000000004,-0.5,-11.8,19.700000000000003,0.7,forward
7859,-0.2,0.1,0.2,-7.1000000000000005,-11.1,23.6,forward
7959,0,0,0.6000000000000001,2,-1.3,14.200000000000001,forward
8059,-0.1,-0.2,0.30000000000000004,-9.5,22.000000000000004,34.400000000000006,forward
8159,0,-0.2,-0.1,-1.8000000000000003,15.5,4.9,forward
8259,0,0,-0.6000000000000001,9.600000000000001,-2.8,10.4,forward
8359,0.1,0.2,-0.2,5.8,6.600000000000001,-5.2,forward
8459,-0.1,0.30000000000000004,0,-1.8000000000000003,-1.3,0.6000000000000001,forward
8559,0.1,0.1,0.5,-11.3,-6.9,-2,forward
8659,0,-0.30000000000000004,0.4,8,-13.000000000000002,3.6000000000000005,forward
8759,0.2,-0.2,0.1,-5.6,33.800000000000004,-13.000000000000002,forward
8859,0,0.1,-0.5,4,7.8,-14.900000000000002,forward
8959,0,0.30000000000000004,-0.5,4.800000000000001,7.400000000000001,3.3000000000000007,forward
9059,-0.2,0.30000000000000004,-0.1,8.3,5.500000000000001,15.700000000000001,forward
9159,-0.1,0,0.5,7.6,8.5,28,forward
9259,0,-0.2,0.5,1.9,17.799999999999997,29.200000000000003,forward
9359,0,-0.2,0.2,-2.9,6.1000000000000005,11.4,forward
9459,0.1,-0.1,-0.30000000000000004,1.9,20.400000000000002,2.9,forward
9559,0,0.1,-0.5,14.100000000000001,-3.8,-13.700000000000001,forward
9659,0,0.2,-0.2,18.700000000000003,1.4,-27.2,forward
9759,-0.1,0.1,0,12.7,-6.500000000000001,-22.8,forward
9859,0,0,0.30000000000000004,-17.1,-32.2,-42.3,forward
9959,-0.1,-0.2,0.30000000000000004,14.200000000000001,-12.200000000000001,-9.700000000000001,forward
10059,0.1,-0.1,0.1,-4.800000000000001,28.1,-4,forward
10159,-0.1,0,-0.5,4.300000000000001,-1.5,3.3000000000000007,forward
10259,0.1,0.2,-0.5,8,2.9,7.500000000000001,forward
10359,0,0.2,-0.1,11.8,-4.5,15.000000000000002,forward
10459,0,0.1,0.5,-4.9,18.900000000000002,15.8,forward
10559,0,-0.1,0.4,-20.2,11.700000000000001,0.5,forward
10659,-0.1,-0.30000000000000004,0.1,-13.700000000000001,14.700000000000001,25.300000000000004,forward
10759,0,-0.1,-0.4,-11.700000000000001,6.2,13.900000000000002,forward
10859,0.1,0.2,-0.4,0.4,-8,-6.300000000000001,forward
10959,0.1,0.30000000000000004,-0.1,-0.8,2.3,-11.1,forward
11059,0,0,0.4,-8.3,-2,-3.3000000000000007,forward
11159,0,-0.2,0.4,-11.2,17.5,-4.800000000000001,forward
11259,0.2,-0.30000000000000004,0.2,11.900000000000002,10.600000000000001,-19.799999999999997,forward
11359,0,-0.1,-0.30000000000000004,12.100000000000001,0.2,-11.3,forward
11459,0,0.2,-0.4,10.600000000000001,-11.5,-11.5,forward
11559,0,0.30000000000000004,-0.30000000000000004,4.6,-3.1,-12.8,forward
11659,-0.1,0.1,0.2,8.8,-27.2,-5.300000000000001,forward
11759,-0.1,-0.1,0.4,9.100000000000001,-11.700000000000001,2.4000000000000004,forward
11859,-0.2,-0.2,0.1,-9.8,-19,16.1,forward
11959,0,-0.1,-0.2,-8.700000000000001,7.500000000000001,24.1,forward
12059,0,0,-0.5,-11.3,-3.3000000000000007,9.100000000000001,forward
12159,0.1,0.1,-0.1,-11.8,2.5,2.9,forward
12259,0.1,0.1,0.1,-5.300000000000001,-19.300000000000004,-9.2,forward
12375,0.1,-0.1,0.4,-35.5,-16.200000000000003,-17.300000000000004,forward
12475,0.1,-0.30000000000000004,0.30000000000000004,7.9,-20.5,-14.700000000000001,forward
12575,0.1,-0.2,-0.1,-8.5,21.1,-11.900000000000002,forward
12675,-0.1,0.1,-0.4,4,2.6,-6.8,forward
12775,0,0.30000000000000004,-0.30000000000000004,11.8,20.8,0.7,forward
12875,0,0.30000000000000004,0.1,22.3,4.800000000000001,0.2,forward
12976,-0.1,0.1,0.4,19.6,34.1,14.100000000000001,forward
